crop,season,soil_moisture_pct,temperature,rainfall_forecast_mm,irrigation_needed,water_liters_per_sqm,irrigation_schedule
watermelon,Rabi,46.7,28.24,117.2,No,0.0,Every 4-6 days
orange,Rabi,45.2,31.26,76.4,No,0.0,Every 4-6 days
coconut,Zaid,56.4,31.05,37.9,Yes,10.12,Every 4-6 days
mothbeans,Zaid,50.9,37.12,35.2,Yes,12.55,Every 4-6 days
pomegranate,Kharif,56.9,23.92,31.8,Yes,9.39,Every 4-6 days
orange,Rabi,52.4,22.31,11.7,Yes,11.58,Every 4-6 days
coffee,Kharif,32.3,25.79,111.5,No,0.0,Every 4-6 days
apple,Rabi,49.8,27.52,32.6,Yes,10.53,Every 4-6 days
coconut,Zaid,34.0,29.6,55.7,No,0.0,Every 4-6 days
rice,Rabi,46.9,26.82,61.8,No,0.0,Every 1-3 days
blackgram,Rabi,54.2,26.61,135.7,No,0.0,Every 4-6 days
mango,Zaid,41.0,38.35,27.4,Yes,13.49,Every 4-6 days
muskmelon,Rabi,53.6,28.83,39.9,Yes,15.85,Every 1-3 days
jute,Kharif,35.8,24.7,76.6,No,0.0,Every 1-3 days
rice,Kharif,20.6,28.48,75.8,No,0.0,Every 1-3 days
lentil,Zaid,39.9,26.65,24.3,Yes,12.76,Every 4-6 days
lentil,Rabi,20.5,32.85,3.7,Yes,15.93,Every 1-3 days
rice,Zaid,29.6,31.23,76.5,No,0.0,Every 1-3 days
papaya,Zaid,69.0,31.04,28.9,Yes,10.52,Every 4-6 days
mungbean,Zaid,30.6,29.14,25.5,Yes,12.42,Every 4-6 days
rice,Kharif,24.3,25.17,50.7,No,0.0,Every 1-3 days
coconut,Kharif,32.5,22.24,37.7,Yes,10.39,Every 4-6 days
muskmelon,Rabi,49.9,32.72,39.8,Yes,15.0,Every 1-3 days
chickpea,Zaid,25.5,27.26,19.1,Yes,13.66,Every 4-6 days
apple,Zaid,62.1,23.37,31.5,Yes,8.77,Every 4-6 days
apple,Kharif,39.5,26.72,64.1,No,0.0,Every 4-6 days
jute,Kharif,40.4,33.92,5.2,Yes,18.61,Every 1-3 days
kidneybeans,Zaid,35.6,31.88,66.5,No,0.0,Every 4-6 days
chickpea,Rabi,44.8,23.43,193.0,No,0.0,Every 7-10 days
pigeonpeas,Rabi,52.5,20.52,18.3,Yes,9.87,Every 4-6 days
mango,Zaid,35.3,23.29,35.3,Yes,10.69,Every 4-6 days
mungbean,Rabi,26.6,29.9,80.4,No,0.0,Every 4-6 days
chickpea,Kharif,28.3,22.4,28.0,Yes,14.68,Every 4-6 days
pomegranate,Kharif,52.7,29.39,46.7,No,0.0,Every 4-6 days
apple,Rabi,47.6,33.24,60.8,No,0.0,Every 4-6 days
pomegranate,Kharif,17.9,19.19,46.9,No,0.0,Every 4-6 days
banana,Kharif,37.5,31.15,92.4,No,0.0,Every 1-3 days
lentil,Zaid,53.7,23.78,49.7,No,0.0,Every 4-6 days
maize,Zaid,38.9,29.0,2.3,Yes,13.79,Every 4-6 days
chickpea,Rabi,46.8,19.53,50.4,No,0.0,Every 4-6 days
mothbeans,Kharif,48.5,17.38,69.9,No,0.0,Every 4-6 days
rice,Kharif,33.6,35.45,35.6,Yes,19.58,Every 1-3 days
mungbean,Zaid,53.5,27.57,64.7,No,0.0,Every 4-6 days
muskmelon,Rabi,28.4,20.78,9.3,Yes,17.09,Every 1-3 days
kidneybeans,Zaid,59.7,37.53,91.5,No,0.0,Every 4-6 days
mungbean,Zaid,49.9,26.18,141.8,No,0.0,Every 4-6 days
muskmelon,Zaid,65.9,33.87,57.5,No,0.0,Every 1-3 days
apple,Rabi,57.2,30.25,3.3,Yes,12.2,Every 4-6 days
papaya,Rabi,69.7,20.17,69.4,No,0.0,Every 7-10 days
papaya,Zaid,45.1,33.74,51.7,No,0.0,Every 4-6 days
kidneybeans,Kharif,51.9,28.16,16.9,Yes,12.38,Every 4-6 days
lentil,Rabi,54.6,33.5,54.6,No,0.0,Every 4-6 days
orange,Zaid,64.3,18.77,78.6,No,0.0,Every 7-10 days
mothbeans,Rabi,12.3,29.45,54.4,No,0.0,Every 4-6 days
blackgram,Rabi,31.8,26.8,155.5,No,0.0,Every 4-6 days
orange,Zaid,34.3,29.11,40.8,No,0.0,Every 4-6 days
jute,Rabi,42.9,28.0,37.0,Yes,16.64,Every 1-3 days
apple,Zaid,5.0,25.83,75.6,No,0.0,Every 4-6 days
cotton,Rabi,60.2,32.99,11.4,Yes,10.96,Every 4-6 days
jute,Kharif,46.6,33.67,60.2,No,0.0,Every 1-3 days
pomegranate,Rabi,66.5,29.72,6.3,Yes,9.26,Every 4-6 days
mungbean,Rabi,36.9,23.34,27.9,Yes,10.29,Every 4-6 days
papaya,Rabi,43.4,24.89,6.7,Yes,10.4,Every 4-6 days
papaya,Rabi,56.1,17.57,12.2,Yes,9.85,Every 4-6 days
lentil,Rabi,53.5,26.1,83.1,No,0.0,Every 4-6 days
orange,Zaid,46.3,23.71,12.1,Yes,10.94,Every 4-6 days
grapes,Kharif,59.8,25.26,77.5,No,0.0,Every 4-6 days
grapes,Kharif,44.1,24.62,57.9,No,0.0,Every 4-6 days
jute,Kharif,39.3,29.44,21.0,Yes,18.23,Every 1-3 days
muskmelon,Kharif,63.1,27.88,25.4,Yes,15.17,Every 1-3 days
mothbeans,Kharif,32.2,35.11,32.8,Yes,14.49,Every 4-6 days
muskmelon,Zaid,52.8,23.79,8.4,Yes,15.42,Every 1-3 days
blackgram,Zaid,46.3,29.39,33.8,Yes,12.27,Every 4-6 days
mothbeans,Kharif,48.5,33.23,91.5,No,0.0,Every 4-6 days
blackgram,Kharif,8.8,25.8,113.2,No,0.0,Every 4-6 days
coconut,Kharif,66.0,30.84,110.9,No,0.0,Every 4-6 days
orange,Kharif,43.6,29.14,91.0,No,0.0,Every 4-6 days
watermelon,Kharif,32.1,37.79,57.8,No,0.0,Every 1-3 days
mothbeans,Rabi,65.1,26.03,28.5,Yes,9.38,Every 4-6 days
mango,Kharif,51.0,29.66,50.2,No,0.0,Every 4-6 days
muskmelon,Rabi,72.9,35.64,35.6,Yes,15.17,Every 1-3 days
maize,Kharif,55.5,23.94,39.9,Yes,8.87,Every 4-6 days
pomegranate,Rabi,43.0,26.22,101.2,No,0.0,Every 4-6 days
maize,Rabi,52.2,20.65,44.3,No,0.0,Every 4-6 days
mothbeans,Rabi,53.3,20.41,59.3,No,0.0,Every 4-6 days
lentil,Kharif,35.0,28.38,7.3,Yes,14.81,Every 4-6 days
lentil,Kharif,66.5,26.56,88.0,No,0.0,Every 4-6 days
mango,Zaid,44.8,23.53,87.7,No,0.0,Every 4-6 days
maize,Kharif,43.9,28.82,35.8,Yes,11.53,Every 4-6 days
muskmelon,Kharif,42.8,17.23,15.7,Yes,13.22,Every 1-3 days
grapes,Kharif,45.7,27.09,23.8,Yes,9.72,Every 4-6 days
pigeonpeas,Rabi,46.1,30.93,76.6,No,0.0,Every 4-6 days
rice,Zaid,34.3,31.49,173.9,No,0.0,Every 4-6 days
kidneybeans,Zaid,63.0,24.79,55.1,No,0.0,Every 4-6 days
papaya,Kharif,54.1,31.27,108.1,No,0.0,Every 4-6 days
orange,Rabi,19.2,34.01,27.5,Yes,13.47,Every 1-3 days
banana,Zaid,62.0,32.73,81.3,No,0.0,Every 4-6 days
kidneybeans,Zaid,63.7,31.56,31.1,Yes,11.89,Every 4-6 days
pomegranate,Kharif,57.2,29.35,36.4,Yes,11.01,Every 4-6 days
rice,Kharif,10.9,31.67,42.8,No,0.0,Every 1-3 days
chickpea,Zaid,42.6,28.27,50.9,No,0.0,Every 4-6 days
rice,Kharif,65.3,33.24,59.6,No,0.0,Every 1-3 days
banana,Zaid,77.3,30.59,32.5,Yes,12.8,Every 4-6 days
jute,Rabi,23.0,22.43,52.8,No,0.0,Every 1-3 days
watermelon,Zaid,16.7,33.55,31.2,Yes,18.04,Every 1-3 days
blackgram,Kharif,28.5,29.04,17.2,Yes,13.91,Every 4-6 days
watermelon,Zaid,31.7,30.56,47.9,No,0.0,Every 1-3 days
muskmelon,Kharif,54.3,22.22,23.0,Yes,15.65,Every 1-3 days
rice,Rabi,48.6,23.64,24.9,Yes,15.77,Every 1-3 days
blackgram,Zaid,73.0,23.35,73.1,No,0.0,Every 7-10 days
jute,Kharif,51.4,25.33,135.1,No,0.0,Every 4-6 days
coconut,Rabi,64.8,39.52,42.1,No,0.0,Every 4-6 days
coconut,Zaid,43.2,29.33,31.3,Yes,10.61,Every 4-6 days
orange,Zaid,27.0,32.91,115.3,No,0.0,Every 4-6 days
mango,Rabi,34.9,33.78,104.7,No,0.0,Every 4-6 days
apple,Rabi,85.7,29.28,21.3,Yes,8.82,Every 4-6 days
apple,Zaid,50.6,29.4,85.2,No,0.0,Every 4-6 days
apple,Kharif,36.2,25.86,67.9,No,0.0,Every 4-6 days
